312.00,	9.23
313.00,	9.17
314.00,	9.12
315.00,	9.06
316.00,	9.01
317.00,	8.95
318.00,	8.90
319.00,	8.85
320.00,	8.79
321.00,	8.74
322.00,	8.69
323.00,	8.64
324.00,	8.60
325.00,	8.55
326.00,	8.50
327.00,	8.46
328.00,	8.41
329.00,	8.37
330.00,	8.33
331.00,	8.29
332.00,	8.25
333.00,	8.21
334.00,	8.17
335.00,	8.14
336.00,	8.11
337.00,	8.07
338.00,	8.04
339.00,	8.01
340.00,	7.99
341.00,	7.96
342.00,	7.93
343.00,	7.91
344.00,	7.89
345.00,	7.87
346.00,	7.85
347.00,	7.84
348.00,	7.82
349.00,	7.81
350.00,	7.80
351.00,	7.79
352.00,	7.79
353.00,	7.78
354.00,	7.78
355.00,	7.78
356.00,	7.78
357.00,	7.78
358.00,	7.78
359.00,	7.79
360.00,	7.80
361.00,	7.81
362.00,	7.82
363.00,	7.83
364.00,	7.85
365.00,	7.87
